openmlid,algorithm,algorithmoptions,numinstances,numattributes,numattributesafterbinarization,trainpoints,numinstances_sub,numattributes_sub,builds,predictioncalls_training,predictioncalls_prediction
24,logitboost,-L 0 -H 0.1 -Z 3 -P 90 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0 -H 0.1 -Z 5 -P 70 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.9 -Z 10 -P 80 -I 10,3196,36,40,1000,1000,36,10,1000,2196
3,logitboost,-L 0.01 -H 0.5 -Z 10 -P 80 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0 -H 0.9 -Z 10 -P 80 -I 10,8124,22,121,1000,1000,22,10,1000,7124
24,logitboost,-L 0.01 -H 0.5 -Z 10 -P 80 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.9 -Z 1 -P 60 -I 5,3196,36,40,1000,1000,36,5,1000,2196
3,logitboost,-L 0.01 -H 0.1 -Z 1 -P 95 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0 -H 0.9 -Z 1 -P 60 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0.01 -H 0.1 -Z 1 -P 95 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.9 -Z 5 -P 90 -I 10,3196,36,40,1000,1000,36,10,1000,2196
3,logitboost,-L 0 -H 0.5 -Z 3 -P 70 -I 50,3196,36,40,1000,1000,36,50,1000,2196
3,logitboost,-L 0 -H 0.5 -Z 2 -P 80 -I 50,3196,36,40,1000,1000,36,50,1000,2196
3,logitboost,-L 0 -H 0.5 -Z 1 -P 90 -I 50,3196,36,40,1000,1000,36,50,1000,2196
24,logitboost,-L 0 -H 0.9 -Z 5 -P 90 -I 10,8124,22,121,1000,1000,22,10,1000,7124
3,logitboost,-L 0.01 -H 0.5 -Z 5 -P 90 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0 -H 0.5 -Z 3 -P 70 -I 50,8124,22,121,1000,1000,22,50,1000,7124
24,logitboost,-L 0 -H 0.5 -Z 2 -P 80 -I 50,8124,22,121,1000,1000,22,50,1000,7124
24,logitboost,-L 0 -H 0.5 -Z 1 -P 90 -I 50,8124,22,121,1000,1000,22,50,1000,7124
3,logitboost,-L 0 -H 0.9 -Z 5 -P 90 -I 20,3196,36,40,1000,1000,36,20,1000,2196
24,logitboost,-L 0.01 -H 0.5 -Z 5 -P 90 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.5 -Z 1 -P 95 -I 10,3196,36,40,1000,1000,36,10,1000,2196
24,logitboost,-L 0 -H 0.9 -Z 5 -P 90 -I 20,8124,22,121,1000,1000,22,20,1000,7124
3,logitboost,-L 0 -H 0.5 -Z 10 -P 100 -I 5,3196,36,40,1000,1000,36,5,1000,2196
12,logitboost,-L 0.1 -H 0.9 -Z 5 -P 70 -I 20,2000,216,216,1000,1000,216,20,1000,1000
3,logitboost,-L 0 -H 0.1 -Z 2 -P 100 -I 5,3196,36,40,1000,1000,36,5,1000,2196
14,logitboost,-L 0.1 -H 0.9 -Z 5 -P 70 -I 20,2000,76,76,1000,1000,76,20,1000,1000
16,logitboost,-L 0.1 -H 0.9 -Z 5 -P 70 -I 20,2000,64,64,1000,1000,64,20,1000,1000
22,logitboost,-L 0.1 -H 0.9 -Z 5 -P 70 -I 20,2000,47,47,1000,1000,47,20,1000,1000
24,logitboost,-L 0 -H 0.5 -Z 1 -P 95 -I 10,8124,22,121,1000,1000,22,10,1000,7124
3,logitboost,-L 0 -H 0.5 -Z 1 -P 95 -I 20,3196,36,40,1000,1000,36,20,1000,2196
3,logitboost,-L 0 -H 0.1 -Z 3 -P 95 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0 -H 0.5 -Z 10 -P 100 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0 -H 0.1 -Z 2 -P 100 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.1 -Z 10 -P 90 -I 10,3196,36,40,1000,1000,36,10,1000,2196
24,logitboost,-L 0 -H 0.5 -Z 1 -P 95 -I 20,8124,22,121,1000,1000,22,20,1000,7124
24,logitboost,-L 0 -H 0.1 -Z 3 -P 95 -I 5,8124,22,121,1000,1000,22,5,1000,7124
12,logitboost,-L 0.01 -H 0.9 -Z 10 -P 100 -I 20,2000,216,216,1000,1000,216,20,1000,1000
14,logitboost,-L 0.01 -H 0.9 -Z 10 -P 100 -I 20,2000,76,76,1000,1000,76,20,1000,1000
16,logitboost,-L 0.01 -H 0.9 -Z 10 -P 100 -I 20,2000,64,64,1000,1000,64,20,1000,1000
24,logitboost,-L 0 -H 0.1 -Z 10 -P 90 -I 10,8124,22,121,1000,1000,22,10,1000,7124
22,logitboost,-L 0.01 -H 0.9 -Z 10 -P 100 -I 20,2000,47,47,1000,1000,47,20,1000,1000
3,logitboost,-L 0.01 -H 0.1 -Z 3 -P 70 -I 5,3196,36,40,1000,1000,36,5,1000,2196
3,logitboost,-L 0.01 -H 0.1 -Z 2 -P 80 -I 5,3196,36,40,1000,1000,36,5,1000,2196
3,logitboost,-L 0.01 -H 0.1 -Z 1 -P 90 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0.01 -H 0.1 -Z 3 -P 70 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0.01 -H 0.1 -Z 2 -P 80 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.1 -Z 1 -P 70 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0.01 -H 0.1 -Z 1 -P 90 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.1 -Z 2 -P 60 -I 5,3196,36,40,1000,1000,36,5,1000,2196
3,logitboost,-L 0 -H 0.9 -Z 5 -P 95 -I 10,3196,36,40,1000,1000,36,10,1000,2196
24,logitboost,-L 0 -H 0.1 -Z 1 -P 70 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0 -H 0.1 -Z 2 -P 60 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0 -H 0.9 -Z 5 -P 95 -I 10,8124,22,121,1000,1000,22,10,1000,7124
3,logitboost,-L 0 -H 0.5 -Z 1 -P 95 -I 50,3196,36,40,1000,1000,36,50,1000,2196
3,logitboost,-L 0 -H 0.5 -Z 10 -P 60 -I 5,3196,36,40,1000,1000,36,5,1000,2196
3,logitboost,-L 0 -H 0.1 -Z 10 -P 90 -I 20,3196,36,40,1000,1000,36,20,1000,2196
24,logitboost,-L 0 -H 0.5 -Z 1 -P 95 -I 50,8124,22,121,1000,1000,22,50,1000,7124
24,logitboost,-L 0 -H 0.5 -Z 10 -P 60 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0 -H 0.1 -Z 10 -P 90 -I 20,8124,22,121,1000,1000,22,20,1000,7124
3,logitboost,-L 0.01 -H 0.9 -Z 3 -P 60 -I 5,3196,36,40,1000,1000,36,5,1000,2196
3,logitboost,-L 0.01 -H 0.9 -Z 2 -P 70 -I 5,3196,36,40,1000,1000,36,5,1000,2196
3,logitboost,-L 0.01 -H 0.9 -Z 1 -P 80 -I 5,3196,36,40,1000,1000,36,5,1000,2196
3,logitboost,-L 0 -H 0.9 -Z 5 -P 95 -I 20,3196,36,40,1000,1000,36,20,1000,2196
24,logitboost,-L 0.01 -H 0.9 -Z 3 -P 60 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0.01 -H 0.9 -Z 2 -P 70 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0.01 -H 0.9 -Z 1 -P 80 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.1 -Z 10 -P 90 -I 50,3196,36,40,1000,1000,36,50,1000,2196
24,logitboost,-L 0 -H 0.9 -Z 5 -P 95 -I 20,8124,22,121,1000,1000,22,20,1000,7124
3,logitboost,-L 0.01 -H 0.1 -Z 5 -P 95 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0 -H 0.1 -Z 10 -P 90 -I 50,8124,22,121,1000,1000,22,50,1000,7124
12,logitboost,-L 0.1 -H 0.9 -Z 10 -P 100 -I 20,2000,216,216,1000,1000,216,20,1000,1000
14,logitboost,-L 0.1 -H 0.9 -Z 10 -P 100 -I 20,2000,76,76,1000,1000,76,20,1000,1000
16,logitboost,-L 0.1 -H 0.9 -Z 10 -P 100 -I 20,2000,64,64,1000,1000,64,20,1000,1000
24,logitboost,-L 0.01 -H 0.1 -Z 5 -P 95 -I 5,8124,22,121,1000,1000,22,5,1000,7124
22,logitboost,-L 0.1 -H 0.9 -Z 10 -P 100 -I 20,2000,47,47,1000,1000,47,20,1000,1000
3,logitboost,-L 0 -H 0.9 -Z 1 -P 90 -I 10,3196,36,40,1000,1000,36,10,1000,2196
3,logitboost,-L 0 -H 0.9 -Z 3 -P 70 -I 10,3196,36,40,1000,1000,36,10,1000,2196
3,logitboost,-L 0 -H 0.9 -Z 2 -P 80 -I 10,3196,36,40,1000,1000,36,10,1000,2196
24,logitboost,-L 0 -H 0.9 -Z 1 -P 90 -I 10,8124,22,121,1000,1000,22,10,1000,7124
24,logitboost,-L 0 -H 0.9 -Z 3 -P 70 -I 10,8124,22,121,1000,1000,22,10,1000,7124
24,logitboost,-L 0 -H 0.9 -Z 2 -P 80 -I 10,8124,22,121,1000,1000,22,10,1000,7124
3,logitboost,-L 0.01 -H 0.9 -Z 3 -P 100 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0.01 -H 0.9 -Z 3 -P 100 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.9 -Z 1 -P 90 -I 20,3196,36,40,1000,1000,36,20,1000,2196
3,logitboost,-L 0 -H 0.9 -Z 3 -P 70 -I 20,3196,36,40,1000,1000,36,20,1000,2196
3,logitboost,-L 0 -H 0.9 -Z 2 -P 80 -I 20,3196,36,40,1000,1000,36,20,1000,2196
3,logitboost,-L 0 -H 0.5 -Z 3 -P 90 -I 5,3196,36,40,1000,1000,36,5,1000,2196
3,logitboost,-L 0 -H 0.5 -Z 5 -P 70 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0 -H 0.9 -Z 1 -P 90 -I 20,8124,22,121,1000,1000,22,20,1000,7124
24,logitboost,-L 0 -H 0.9 -Z 3 -P 70 -I 20,8124,22,121,1000,1000,22,20,1000,7124
24,logitboost,-L 0 -H 0.9 -Z 2 -P 80 -I 20,8124,22,121,1000,1000,22,20,1000,7124
3,logitboost,-L 0 -H 0.1 -Z 10 -P 95 -I 10,3196,36,40,1000,1000,36,10,1000,2196
24,logitboost,-L 0 -H 0.5 -Z 3 -P 90 -I 5,8124,22,121,1000,1000,22,5,1000,7124
24,logitboost,-L 0 -H 0.5 -Z 5 -P 70 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.1 -Z 10 -P 95 -I 20,3196,36,40,1000,1000,36,20,1000,2196
3,logitboost,-L 0.01 -H 0.1 -Z 10 -P 80 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0 -H 0.1 -Z 10 -P 95 -I 10,8124,22,121,1000,1000,22,10,1000,7124
3,logitboost,-L 0.01 -H 0.1 -Z 5 -P 90 -I 5,3196,36,40,1000,1000,36,5,1000,2196
24,logitboost,-L 0 -H 0.1 -Z 10 -P 95 -I 20,8124,22,121,1000,1000,22,20,1000,7124
24,logitboost,-L 0.01 -H 0.1 -Z 10 -P 80 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.1 -Z 5 -P 100 -I 10,3196,36,40,1000,1000,36,10,1000,2196
24,logitboost,-L 0.01 -H 0.1 -Z 5 -P 90 -I 5,8124,22,121,1000,1000,22,5,1000,7124
3,logitboost,-L 0 -H 0.1 -Z 10 -P 95 -I 50,3196,36,40,1000,1000,36,50,1000,2196
24,logitboost,-L 0 -H 0.1 -Z 5 -P 100 -I 10,8124,22,121,1000,1000,22,10,1000,7124
24,logitboost,-L 0 -H 0.1 -Z 10 -P 95 -I 50,8124,22,121,1000,1000,22,50,1000,7124
3,randomcommittee,-I 5,3196,36,40,1000,1000,36,5,0,2196
3,randomcommittee,-I 10,3196,36,40,1000,1000,36,10,0,2196
6,randomcommittee,-I 5,20000,16,16,1000,1000,16,5,0,19000
6,randomcommittee,-I 5,20000,16,16,10000,10000,16,5,0,10000
3,randomcommittee,-I 20,3196,36,40,1000,1000,36,20,0,2196
6,randomcommittee,-I 10,20000,16,16,1000,1000,16,10,0,19000
12,randomcommittee,-I 5,2000,216,216,1000,1000,216,5,0,1000
12,randomcommittee,-I 10,2000,216,216,1000,1000,216,10,0,1000
6,randomcommittee,-I 10,20000,16,16,10000,10000,16,10,0,10000
6,randomcommittee,-I 20,20000,16,16,1000,1000,16,20,0,19000
3,randomcommittee,-I 50,3196,36,40,1000,1000,36,50,0,2196
14,randomcommittee,-I 5,2000,76,76,1000,1000,76,5,0,1000
12,randomcommittee,-I 20,2000,216,216,1000,1000,216,20,0,1000
16,randomcommittee,-I 5,2000,64,64,1000,1000,64,5,0,1000
6,randomcommittee,-I 20,20000,16,16,10000,10000,16,20,0,10000
14,randomcommittee,-I 10,2000,76,76,1000,1000,76,10,0,1000
6,randomcommittee,-I 50,20000,16,16,1000,1000,16,50,0,19000
16,randomcommittee,-I 10,2000,64,64,1000,1000,64,10,0,1000
12,randomcommittee,-I 50,2000,216,216,1000,1000,216,50,0,1000
6,randomcommittee,-I 50,20000,16,16,10000,10000,16,50,0,10000
14,randomcommittee,-I 20,2000,76,76,1000,1000,76,20,0,1000
18,randomcommittee,-I 5,2000,6,6,1000,1000,6,5,0,1000
18,randomcommittee,-I 10,2000,6,6,1000,1000,6,10,0,1000
16,randomcommittee,-I 20,2000,64,64,1000,1000,64,20,0,1000
14,randomcommittee,-I 50,2000,76,76,1000,1000,76,50,0,1000
21,randomcommittee,-I 5,1728,6,21,1000,1000,6,5,0,728
16,randomcommittee,-I 50,2000,64,64,1000,1000,64,50,0,1000
18,randomcommittee,-I 20,2000,6,6,1000,1000,6,20,0,1000
22,randomcommittee,-I 5,2000,47,47,1000,1000,47,5,0,1000
21,randomcommittee,-I 10,1728,6,21,1000,1000,6,10,0,728
22,randomcommittee,-I 10,2000,47,47,1000,1000,47,10,0,1000
18,randomcommittee,-I 50,2000,6,6,1000,1000,6,50,0,1000
23,randomcommittee,-I 5,1473,9,21,1000,1000,9,5,0,473
21,randomcommittee,-I 20,1728,6,21,1000,1000,6,20,0,728
22,randomcommittee,-I 20,2000,47,47,1000,1000,47,20,0,1000
23,randomcommittee,-I 10,1473,9,21,1000,1000,9,10,0,473
21,randomcommittee,-I 50,1728,6,21,1000,1000,6,50,0,728
24,randomcommittee,-I 5,8124,22,121,1000,1000,22,5,0,7124
22,randomcommittee,-I 50,2000,47,47,1000,1000,47,50,0,1000
23,randomcommittee,-I 20,1473,9,21,1000,1000,9,20,0,473
24,randomcommittee,-I 10,8124,22,121,1000,1000,22,10,0,7124
23,randomcommittee,-I 50,1473,9,21,1000,1000,9,50,0,473
24,randomcommittee,-I 20,8124,22,121,1000,1000,22,20,0,7124
24,randomcommittee,-I 50,8124,22,121,1000,1000,22,50,0,7124
3,randomsubspace,-P 95 -I 50,3196,36,40,1000,1000,36,50,0,2196
6,randomsubspace,-P 95 -I 50,20000,16,16,1000,1000,16,50,0,19000
3,randomsubspace,-P 50 -I 20,3196,36,40,1000,1000,36,20,0,2196
6,randomsubspace,-P 50 -I 20,20000,16,16,1000,1000,16,20,0,19000
12,randomsubspace,-P 95 -I 50,2000,216,216,1000,1000,95,50,0,1000
3,randomsubspace,-P 95 -I 10,3196,36,40,1000,1000,36,10,0,2196
6,randomsubspace,-P 95 -I 50,20000,16,16,10000,10000,16,50,0,10000
6,randomsubspace,-P 95 -I 10,20000,16,16,1000,1000,16,10,0,19000
14,randomsubspace,-P 95 -I 50,2000,76,76,1000,1000,76,50,0,1000
6,randomsubspace,-P 50 -I 20,20000,16,16,10000,10000,16,20,0,10000
12,randomsubspace,-P 50 -I 20,2000,216,216,1000,1000,50,20,0,1000
3,randomsubspace,-P 60 -I 20,3196,36,40,1000,1000,36,20,0,2196
6,randomsubspace,-P 60 -I 20,20000,16,16,1000,1000,16,20,0,19000
6,randomsubspace,-P 95 -I 10,20000,16,16,10000,10000,16,10,0,10000
12,randomsubspace,-P 95 -I 10,2000,216,216,1000,1000,95,10,0,1000
3,randomsubspace,-P 70 -I 20,3196,36,40,1000,1000,36,20,0,2196
14,randomsubspace,-P 50 -I 20,2000,76,76,1000,1000,50,20,0,1000
16,randomsubspace,-P 95 -I 50,2000,64,64,1000,1000,64,50,0,1000
3,randomsubspace,-P 80 -I 20,3196,36,40,1000,1000,36,20,0,2196
14,randomsubspace,-P 95 -I 10,2000,76,76,1000,1000,76,10,0,1000
16,randomsubspace,-P 50 -I 20,2000,64,64,1000,1000,50,20,0,1000
6,randomsubspace,-P 70 -I 20,20000,16,16,1000,1000,16,20,0,19000
6,randomsubspace,-P 60 -I 20,20000,16,16,10000,10000,16,20,0,10000
18,randomsubspace,-P 95 -I 50,2000,6,6,1000,1000,6,50,0,1000
12,randomsubspace,-P 60 -I 20,2000,216,216,1000,1000,60,20,0,1000
6,randomsubspace,-P 70 -I 20,20000,16,16,10000,10000,16,20,0,10000
12,randomsubspace,-P 70 -I 20,2000,216,216,1000,1000,70,20,0,1000
14,randomsubspace,-P 60 -I 20,2000,76,76,1000,1000,60,20,0,1000
16,randomsubspace,-P 95 -I 10,2000,64,64,1000,1000,64,10,0,1000
6,randomsubspace,-P 80 -I 20,20000,16,16,1000,1000,16,20,0,19000
3,randomsubspace,-P 90 -I 20,3196,36,40,1000,1000,36,20,0,2196
21,randomsubspace,-P 95 -I 50,1728,6,21,1000,1000,6,50,0,728
18,randomsubspace,-P 50 -I 20,2000,6,6,1000,1000,6,20,0,1000
21,randomsubspace,-P 50 -I 20,1728,6,21,1000,1000,6,20,0,728
3,randomsubspace,-P 100 -I 10,3196,36,40,1000,1000,36,10,0,2196
14,randomsubspace,-P 70 -I 20,2000,76,76,1000,1000,70,20,0,1000
16,randomsubspace,-P 60 -I 20,2000,64,64,1000,1000,60,20,0,1000
22,randomsubspace,-P 95 -I 50,2000,47,47,1000,1000,47,50,0,1000
6,randomsubspace,-P 90 -I 20,20000,16,16,1000,1000,16,20,0,19000
6,randomsubspace,-P 80 -I 20,20000,16,16,10000,10000,16,20,0,10000
18,randomsubspace,-P 95 -I 10,2000,6,6,1000,1000,6,10,0,1000
12,randomsubspace,-P 80 -I 20,2000,216,216,1000,1000,80,20,0,1000
21,randomsubspace,-P 95 -I 10,1728,6,21,1000,1000,6,10,0,728
16,randomsubspace,-P 70 -I 20,2000,64,64,1000,1000,64,20,0,1000
3,randomsubspace,-P 95 -I 5,3196,36,40,1000,1000,36,5,0,2196
14,randomsubspace,-P 80 -I 20,2000,76,76,1000,1000,76,20,0,1000
22,randomsubspace,-P 50 -I 20,2000,47,47,1000,1000,47,20,0,1000
6,randomsubspace,-P 100 -I 10,20000,16,16,1000,1000,16,10,0,19000
18,randomsubspace,-P 60 -I 20,2000,6,6,1000,1000,6,20,0,1000
6,randomsubspace,-P 90 -I 20,20000,16,16,10000,10000,16,20,0,10000
23,randomsubspace,-P 95 -I 50,1473,9,21,1000,1000,9,50,0,473
12,randomsubspace,-P 90 -I 20,2000,216,216,1000,1000,90,20,0,1000
3,randomsubspace,-P 100 -I 50,3196,36,40,1000,1000,36,50,0,2196
6,randomsubspace,-P 100 -I 10,20000,16,16,10000,10000,16,10,0,10000
23,randomsubspace,-P 50 -I 20,1473,9,21,1000,1000,9,20,0,473
6,randomsubspace,-P 95 -I 5,20000,16,16,1000,1000,16,5,0,19000
21,randomsubspace,-P 60 -I 20,1728,6,21,1000,1000,6,20,0,728
12,randomsubspace,-P 100 -I 10,2000,216,216,1000,1000,100,10,0,1000
14,randomsubspace,-P 90 -I 20,2000,76,76,1000,1000,76,20,0,1000
18,randomsubspace,-P 70 -I 20,2000,6,6,1000,1000,6,20,0,1000
16,randomsubspace,-P 80 -I 20,2000,64,64,1000,1000,64,20,0,1000
22,randomsubspace,-P 95 -I 10,2000,47,47,1000,1000,47,10,0,1000
24,randomsubspace,-P 95 -I 50,8124,22,121,1000,1000,22,50,0,7124
12,randomsubspace,-P 95 -I 5,2000,216,216,1000,1000,95,5,0,1000
21,randomsubspace,-P 70 -I 20,1728,6,21,1000,1000,6,20,0,728
